Parent Cas#	Parent Chem. Name	Parent Smiles	Parent Map reliability	Parent Liver_Muta	Parent in vivo Liver predicted Clastogen	Parent Invitro predictions	Parent Mechanism	Parent Alert info	Parent ModelReliability	Parent Type of detoxification	Parent detoxification paths	Parent Parameter ranges	Parent Structural domain				Parent Total Domain	Metabolite in vivo Liver predicted Clastogen	Metabolite Invitro predictions	Metabolite Mechanism	Metabolite Alert info	Metabolite ModelReliability	Metabolite Type of detoxification	Summary Map reliability	Summary in vivo Liver predicted Clastogen	Summary Mechanism	Summary Alert info	Summary ModelReliability	Summary Type of detoxification	Summary detoxification paths	Summary Total Domain
934-32-7	2-Aminobenzimidazole	NC1Nc2ccccc2N=1	0.4	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interaction with DNA 	N-HydroxylAmines	Undetermined (0 <n< 10)	 	0.4	in vivo Liver Clastogen positive	Interaction with DNA 	N-HydroxylAmines	Undetermined (0 <n< 10)	 	 	Out of Domain
117-62-4	"2-Aminonaphthalene-1,5-disulfonic acid"	Nc1ccc2c(S(O)(=O)=O)cccc2c1S(O)(=O)=O	1	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	"Fused-ring Primary Aromatic Amines,Substituted Anilines"	 	Belongs to deacivated path	* 1. Single Ring Aromatic Amines	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	 	 	 	 	 	 	1	in vivo Liver Clastogen negative	 	"Fused-ring Primary Aromatic Amines,Substituted Anilines"	 	Belongs to deacivated path	* 1. Single Ring Aromatic Amines	Out of Domain
111-15-9	2-Ethoxyethyl acetate	CCOCCOC(C)=O	0.2599	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	Specific Acetate Esters	 	 	 	In domain	88.89%	0.00%	11.11%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	0.2599	in vivo Liver Clastogen negative	 	Specific Acetate Esters	 	 	 	Out of Domain
1241-94-7	2-ethylhexyl-diphenylphosphate	CCCCC(CC)COP(=O)(Oc1ccccc1)Oc1ccccc1	0.1282	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	"Alkylphosphates, Alkylthiophosphates and Alkylphosphonates"	 	 	 	In domain	73.33%	0.00%	26.67%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interaction with DNA  &Interactions with topoisomerases / proteins	"Quinones and Trihydroxybenzenes,alpha,beta-Unsaturated Carbonyls and Related Compounds"	Undetermined (0 <n< 10)	 	0.1282	in vivo Liver Clastogen positive	Interaction with DNA  &Interactions with topoisomerases / proteins	"Quinones and Trihydroxybenzenes,alpha,beta-Unsaturated Carbonyls and Related Compounds"	Undetermined (0 <n< 10)	 	 	Out of Domain
5466-77-3	2-Ethylhexyl-p-methoxycinnamate	CCCCC(CC)COC(=O)C=Cc1ccc(OC)cc1	0.3266	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	"alpha,beta-Unsaturated Carboxylic Acids and Esters"	 	 	 	In domain	56.25%	0.00%	43.75%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.3266	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
90-43-7	2-Hydroxybiphenyl	Oc1ccccc1-c1ccccc1	0.1592	No data	in vivo Liver Clastogen negative	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	Belongs to deacivated path	18. Phenolic Derivatives;26. Phenolic Derivatives	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Hydroxylated phenols	Undetermined (0 <n< 10)	 	0.1592	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Hydroxylated phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
68011-66-5	2-Hydroxycarbamazepine	NC(=O)N1c2ccccc2C=Cc2cc(O)ccc12	0.4038	No data	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.4038	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
2814-20-2	2-Isopropyl-6-methyl-pyrimidin-4-ol	CC(C)c1nc(C)cc(O)n1	0.2215	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	33.33%	0.00%	66.67%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	0.2215	in vivo Liver Clastogen negative	 	 	 	 	 	Out of Domain
5495-84-1	2-Isopropylthioxanthon (quantacure itx)	CC(C)c1ccc2c(c1)C(=O)c1ccccc1S2	0.1155	No data	in vivo Liver Clastogen positive	in vitro CA positive	Interaction with DNA 	"Acridone, Thioxanthone, Xanthone and  Phenazine Derivatives"	Undetermined (0 <n< 10)	 	 	In domain	37.50%	12.50%	50.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interaction with DNA 	"Acridone, Thioxanthone, Xanthone and  Phenazine Derivatives"	Undetermined (0 <n< 10)	 	0.1155	in vivo Liver Clastogen positive	Interaction with DNA 	"Acridone, Thioxanthone, Xanthone and  Phenazine Derivatives"	Undetermined (0 <n< 10)	 	 	Out of Domain
583-39-1	2-Mercapto benzimidazole	SC1Nc2ccccc2N=1	0.2843	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	"alpha,beta-Unsaturated Carbonyls and Related Compounds"	Undetermined (0 <n< 10)	 	0.2843	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	"alpha,beta-Unsaturated Carbonyls and Related Compounds"	Undetermined (0 <n< 10)	 	 	Out of Domain
149-30-4	2-Mercaptobenzothiazole	SC1=Nc2ccccc2S1	1	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	Thiols	 	 	 	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	 	 	 	 	 	 	1	in vivo Liver Clastogen negative	 	Thiols	 	 	 	Out of Domain
120-75-2	2-Methylbenzothiazole	CC1=Nc2ccccc2S1	0.7143	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	0.7143	in vivo Liver Clastogen negative	 	 	 	 	 	Out of Domain
120-18-3	2-Naphtalene sulfonic acid	OS(=O)(=O)c1ccc2ccccc2c1	N/A	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	 	 	 	 	 	 	N/A	in vivo Liver Clastogen negative	 	 	 	 	 	Out of Domain
135-19-3	2-Naphthoic acid	Oc1ccc2ccccc2c1	1	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	Substituted Phenols	 	 	 	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	 	 	 	 	 	 	1	in vivo Liver Clastogen negative	 	Substituted Phenols	 	 	 	Out of Domain
95-76-1	"3,4-DCA (3,4-Dichloroaniline)"	Nc1ccc(Cl)c(Cl)c1	0.3304	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	"Single-ring Substituted Primary Aromatic Amines,Substituted Anilines"	 	Belongs to deacivated path	* 7. Single Ring Aromatic Amines	In domain	25.00%	25.00%	50.00%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	"Single-ring Substituted Primary Aromatic Amines,Substituted Anilines"	 	Belongs to deacivated path	0.3304	in vivo Liver Clastogen negative	 	"Single-ring Substituted Primary Aromatic Amines,Substituted Anilines"	 	Belongs to deacivated path	* 7. Single Ring Aromatic Amines	Out of Domain
107-54-0	"3,5-Dimethyl-1-hexyn-3-ol"	CC(C)CC(C)(O)C#C	0.5932	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	66.67%	0.00%	33.33%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	0.5932	in vivo Liver Clastogen negative	 	 	 	 	 	Out of Domain
104-40-5	4-(para)-Nonylphenol	CCCCCCCCCc1ccc(O)cc1	0.0972	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	Substituted Phenols	 	 	 	In domain	90.91%	0.00%	9.09%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	Substituted Phenols	 	 	0.0972	in vivo Liver Clastogen negative	 	Substituted Phenols	 	 	 	Out of Domain
838-88-0	"4,4'-Methylen-bis(2-methyl aniline)"	Cc1cc(Cc2ccc(N)c(C)c2)ccc1N	0.2423	No data	in vivo Liver Clastogen negative	in vitro CA positive	Interaction with DNA  &Interactions with topoisomerases / proteins	"Single-ring Substituted Primary Aromatic Amines,Substituted Anilines"	Undetermined (0 <n< 10)	Belongs to deacivated path	7. Single Ring Aromatic Amines;8. Single Ring Aromatic Amines	In domain	28.57%	0.00%	71.43%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA positive	Interaction with DNA  &Interactions with topoisomerases / proteins	"N-HydroxylAmines,Substituted Anilines"	Undetermined (0 <n< 10)	Belongs to deacivated path	0.2423	in vivo Liver Clastogen negative	Interaction with DNA  &Interactions with topoisomerases / proteins	"Single-ring Substituted Primary Aromatic Amines,Substituted Anilines"	Undetermined (0 <n< 10)	Belongs to deacivated path	7. Single Ring Aromatic Amines;8. Single Ring Aromatic Amines	Out of Domain
139-65-1	"4,4'-Thiodianiline"	Nc1ccc(Sc2ccc(N)cc2)cc1	0.2551	No data	in vivo Liver Clastogen positive	in vitro CA positive	Interaction with DNA 	Single-ring Substituted Primary Aromatic Amines	Undetermined (0 <n< 10)	 	 	In domain	40.00%	0.00%	60.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interaction with DNA 	N-HydroxylAmines	Undetermined (0 <n< 10)	 	0.2551	in vivo Liver Clastogen positive	Interaction with DNA 	Single-ring Substituted Primary Aromatic Amines	Undetermined (0 <n< 10)	 	 	Out of Domain
122-80-5	4'-Aminoacetanilide	CC(=O)Nc1ccc(N)cc1	0.3666	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	Belongs to deacivated path	* 52. Carboxylic acid amines;52. Carboxylic acid amines	In domain	83.33%	0.00%	16.67%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interaction with DNA 	Single-ring Substituted Primary Aromatic Amines	Undetermined (0 <n< 10)	 	0.3666	in vivo Liver Clastogen positive	Interaction with DNA 	Single-ring Substituted Primary Aromatic Amines	Undetermined (0 <n< 10)	 	 	Out of Domain
83-07-8	4-Aminoantipyrin	CC1=C(N)C(=O)N(c2ccccc2)N1C	0.2962	No data	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Pyrazolone and Pyrazolidine Derivatives	Undetermined (0 <n< 10)	 	 	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Pyrazolone and Pyrazolidine Derivatives	Undetermined (0 <n< 10)	 	0.2962	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Pyrazolone and Pyrazolidine Derivatives	Undetermined (0 <n< 10)	 	 	Out of Domain
60-09-3	4-Aminoazobenzene	Nc1ccc(N=Nc2ccccc2)cc1	0.5754	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	Substituted Anilines	 	Belongs to deacivated path	* 7. Single Ring Aromatic Amines	In domain	80.00%	0.00%	20.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interaction with DNA  &Interactions with topoisomerases / proteins	"Single-ring Substituted Primary Aromatic Amines,Substituted Anilines"	Undetermined (0 <n< 10)	 	0.5754	in vivo Liver Clastogen positive	Interaction with DNA  &Interactions with topoisomerases / proteins	"Single-ring Substituted Primary Aromatic Amines,Substituted Anilines"	Undetermined (0 <n< 10)	 	 	Out of Domain
2835-68-9	4-Aminobenzamide	Nc1ccc(C(N)=O)cc1	0.4021	No data	in vivo Liver Clastogen negative	in vitro CA positive	Interactions with topoisomerases / proteins	Carboxylic Acid Amides	Undetermined (0 <n< 10)	Belongs to deacivated path	52. Carboxylic acid amines	In domain	60.00%	0.00%	40.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interaction with DNA  &Interactions with topoisomerases / proteins	"N-HydroxylAmines,Carboxylic Acid Amides"	Undetermined (0 <n< 10)	 	0.4021	in vivo Liver Clastogen positive	Interaction with DNA  &Interactions with topoisomerases / proteins	"N-HydroxylAmines,Carboxylic Acid Amides"	Undetermined (0 <n< 10)	 	 	Out of Domain
1709-59-7	"4-Amino-N,N-dimethylbenzenesulfonamide"	CN(C)S(=O)(=O)c1ccc(N)cc1	0.3399	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	"Single-ring Substituted Primary Aromatic Amines,Substituted Anilines"	 	Belongs to deacivated path	4. Single Ring Aromatic Amines	In domain	12.50%	0.00%	87.50%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interaction with DNA 	N-HydroxylAmines	Undetermined (0 <n< 10)	 	0.3399	in vivo Liver Clastogen positive	Interaction with DNA 	N-HydroxylAmines	Undetermined (0 <n< 10)	 	 	Out of Domain
63-05-8	"4-Androstene-3,17-dione"	CC12CCC3C(CCC4=CC(=O)CCC34C)C1CCC2=O	0.2276	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	"alpha,beta-Unsaturated Carbonyls and Related Compounds"	 	 	 	In domain	90.48%	0.00%	9.52%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	"alpha,beta-Unsaturated Carbonyls and Related Compounds"	Undetermined (0 <n< 10)	 	0.2276	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	"alpha,beta-Unsaturated Carbonyls and Related Compounds"	Undetermined (0 <n< 10)	 	 	Out of Domain
106-47-8	4-Chloroaniline	Nc1ccc(Cl)cc1	0.3161	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	"Single-ring Substituted Primary Aromatic Amines,Substituted Anilines"	 	Belongs to deacivated path	7. Single Ring Aromatic Amines	In domain	66.67%	0.00%	33.33%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interaction with DNA 	N-HydroxylAmines	Undetermined (0 <n< 10)	 	0.3161	in vivo Liver Clastogen positive	Interaction with DNA 	N-HydroxylAmines	Undetermined (0 <n< 10)	 	 	Out of Domain
950-81-2	4-Formyl-antipyrine	CC1=C(C=O)C(=O)N(c2ccccc2)N1C	0.5538	No data	in vivo Liver Clastogen negative	in vitro CA positive	Interactions with topoisomerases / proteins	Pyrazolone and Pyrazolidine Derivatives	Undetermined (0 <n< 10)	Belongs to deacivated path	59. Vitaminic Naphthoquinone Derivatives	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Pyrazolone and Pyrazolidine Derivatives	Undetermined (0 <n< 10)	 	0.5538	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Pyrazolone and Pyrazolidine Derivatives	Undetermined (0 <n< 10)	 	 	Out of Domain
26725-51-9	4-Hydroxybenzotriazole	Oc1cccc2c1N=NN2	0.2698	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interaction with DNA  &Interactions with topoisomerases / proteins	"Quinones and Trihydroxybenzenes,alpha,beta-Unsaturated Carbonyls and Related Compounds"	Undetermined (0 <n< 10)	 	0.2698	in vivo Liver Clastogen positive	Interaction with DNA  &Interactions with topoisomerases / proteins	"Quinones and Trihydroxybenzenes,alpha,beta-Unsaturated Carbonyls and Related Compounds"	Undetermined (0 <n< 10)	 	 	Out of Domain
99-88-7	4-Isopropylaniline	CC(C)c1ccc(N)cc1	0.2526	No data	in vivo Liver Clastogen negative	in vitro CA positive	Interaction with DNA 	Single-ring Substituted Primary Aromatic Amines	Undetermined (0 <n< 10)	Belongs to deacivated path	2. Single Ring Aromatic Amines;8. Single Ring Aromatic Amines;9. Single Ring Aromatic Amines	In domain	60.00%	0.00%	40.00%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA positive	Interaction with DNA 	Single-ring Substituted Primary Aromatic Amines	Undetermined (0 <n< 10)	Belongs to deacivated path	0.2526	in vivo Liver Clastogen negative	Interaction with DNA 	Single-ring Substituted Primary Aromatic Amines	Undetermined (0 <n< 10)	Belongs to deacivated path	2. Single Ring Aromatic Amines;8. Single Ring Aromatic Amines;9. Single Ring Aromatic Amines	Out of Domain
830-09-1	4-Methoxycinnamic acid	COc1ccc(C=CC(O)=O)cc1	0.5245	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	"alpha,beta-Unsaturated Carboxylic Acids and Esters"	 	 	 	In domain	25.00%	0.00%	75.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.5245	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
29878-31-7	4-Methyl-1-H-benzotriazole	Cc1cccc2c1NN=N2	0.5714	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	0.5714	in vivo Liver Clastogen negative	 	 	 	 	 	Out of Domain
104-93-8	4-Methylanisole	Cc1ccc(OC)cc1	0.2103	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	50.00%	0.00%	50.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.2103	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
36861-47-9	4-Methylbenzylidene camphor	Cc1ccc(C=C2C3CCC(C)(C2=O)C3(C)C)cc1	0.3903	No data	in vivo Liver Clastogen negative	in vitro CA positive	Interactions with topoisomerases / proteins	"alpha,beta-Unsaturated Carbonyls and Related Compounds"	Undetermined (0 <n< 10)	Belongs to deacivated path	29. Unsaturated Compounds;34. Unsaturated Compounds	In domain	35.71%	0.00%	64.29%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	"alpha,beta-Unsaturated Carbonyls and Related Compounds"	Undetermined (0 <n< 10)	 	0.3903	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	"alpha,beta-Unsaturated Carbonyls and Related Compounds"	Undetermined (0 <n< 10)	 	 	Out of Domain
93-35-6	4-Methylcoumarin (umbelliferone)	Oc1ccc2C=CC(=O)Oc2c1	1	No data	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	 	 	 	 	 	 	1	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
106-44-5	4-Methylphenol	Cc1ccc(O)cc1	0.3433	No data	in vivo Liver Clastogen negative	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	Belongs to deacivated path	19. Phenolic Derivatives;21. Phenolic Derivatives	In domain	33.33%	0.00%	66.67%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA positive	Interactions with topoisomerases / proteins	"alpha,beta-Unsaturated Carbonyls and Related Compounds"	Undetermined (0 <n< 10)	Belongs to deacivated path	0.3433	in vivo Liver Clastogen negative	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	Belongs to deacivated path	19. Phenolic Derivatives;21. Phenolic Derivatives	Out of Domain
26172-55-4	5-Chloro-2-methyl-4-isothiazolin-3-one	CN1C(=O)C=C(Cl)S1	0.1038	No data	in vivo Liver Clastogen positive	in vitro CA positive	Interaction with DNA 	Haloisothiazolinones	Undetermined (0 <n< 10)	 	 	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interaction with DNA 	Polarised Haloalkenes Derivatives	Undetermined (0 <n< 10)	 	0.1038	in vivo Liver Clastogen positive	Interaction with DNA 	Haloisothiazolinones	Undetermined (0 <n< 10)	 	 	Out of Domain
1004-03-1	5-Fluorouracil	O=C1C(F)=CNC(=O)N1	1	in vivo Liver Clastogen negative	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Pyrimidines and Purines	Undetermined (0 <n< 10)	 	 	In domain	0.00%	100.00%	0.00%	Out of domain	Out of Domain	 	 	 	 	 	 	1	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Pyrimidines and Purines	Undetermined (0 <n< 10)	 	 	Out of Domain
